FilmID;FilmName;FilmReleaseDate;FilmOscarWins
180;Star Trek VI: The Undiscovered Country;1992-02-14 00:00:00.000;0
181;The Running Man;1988-10-21 00:00:00.000;0
182;Open Range;2004-03-19 00:00:00.000;0
183;Kindergarten Cop;1991-02-01 00:00:00.000;0
184;O Brother, Where Art Thou?;2000-09-15 00:00:00.000;0
185;Goodfellas;1990-09-19 00:00:00.000;1
186;The Passion of the Christ;2004-03-26 00:00:00.000;0
187;The Untouchables;1987-09-18 00:00:00.000;1
188;Schindler's List;1994-02-18 00:00:00.000;7
189;Anchorman: The Legend of Ron Burgundy;2004-09-10 00:00:00.000;0
190;Scarface;1983-12-09 00:00:00.000;0
191;Star Trek IV: The Voyage Home;1987-04-10 00:00:00.000;0
192;King Kong;1976-12-17 00:00:00.000;0
193;Star Wars: Episode V - The Empire Strikes Back;1980-05-21 00:00:00.000;1
194;Gandhi;1982-12-08 00:00:00.000;8
195;Equilibrium;2003-03-14 00:00:00.000;0
196;From Dusk Till Dawn;1996-05-31 00:00:00.000;0
197;Raiders of the Lost Ark;1981-07-30 00:00:00.000;4
199;Back to the Future;1985-12-04 00:00:00.000;1
200;Dances With Wolves;1991-02-08 00:00:00.000;7
201;Star Trek III: The Search For Spock;1984-07-27 00:00:00.000;0
202;Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan;2006-11-02 00:00:00.000;0
203;Raging Bull;1981-04-10 00:00:00.000;2
204;Aliens;1986-08-29 00:00:00.000;2
205;Hero;2004-09-24 00:00:00.000;0
206;Hot Fuzz;2007-02-14 00:00:00.000;0
207;Leon;1995-02-03 00:00:00.000;0
208;High Plains Drifter;1973-08-22 00:00:00.000;0
209;Collateral;2004-09-17 00:00:00.000;0
210;American Beauty;2000-02-04 00:00:00.000;5
211;Lethal Weapon;1987-08-28 00:00:00.000;0
212;Lethal Weapon 2;1989-09-15 00:00:00.000;0
213;Crouching Tiger, Hidden Dragon;2001-01-05 00:00:00.000;4
214;Brokeback Mountain;2006-01-13 00:00:00.000;3
215;Hulk;2003-07-18 00:00:00.000;0
216;Sense and Sensibility;1996-02-23 00:00:00.000;1
217;Ride with the Devil;1999-11-05 00:00:00.000;0
218;Twins;1989-03-17 00:00:00.000;0
219;28 Days Later…;2002-11-01 00:00:00.000;0
220;The Beach;2000-02-11 00:00:00.000;0
221;Trainspotting;1996-02-23 00:00:00.000;0
222;The Spy Who Loved Me;1977-08-03 00:00:00.000;0
223;Downfall;2005-04-01 00:00:00.000;0
224;Letters from Iwo Jima;2007-02-23 00:00:00.000;1
225;Star Trek II: The Wrath of Khan;1982-07-16 00:00:00.000;0
226;House of Flying Daggers;2005-01-14 00:00:00.000;0
227;Das Boot;1982-02-10 00:00:00.000;0
228;Casino Royale;1967-04-28 00:00:00.000;0
229;Star Wars: Episode IV - A New Hope;1977-12-27 00:00:00.000;6
230;E.T.: The Extra-Terrestrial;1982-12-09 00:00:00.000;4
231;Amelie;2001-10-05 00:00:00.000;0
232;You Only Live Twice;1967-06-13 00:00:00.000;0
233;Thunderball;1965-12-29 00:00:00.000;1
234;Alien;1979-09-06 00:00:00.000;1
236;On Her Majesty's Secret Service;1969-12-18 00:00:00.000;0
237;Pulp Fiction;1994-10-21 00:00:00.000;1
238;Rumble in the Bronx;1997-07-04 00:00:00.000;0
239;Diamonds are Forever;1971-12-30 00:00:00.000;0
240;Fargo;1996-05-31 00:00:00.000;2
241;Live and Let Die;1973-07-06 00:00:00.000;0
242;The Man with the Golden Gun;1974-12-20 00:00:00.000;0
243;Good Night, and Good Luck;2006-02-17 00:00:00.000;0
244;Pale Rider;1985-06-28 00:00:00.000;0
